1120260324499305,MCXBULLDEX 24 Mar 26 FUT,11,1,1.0,,0900-2330|1815-1915:,2026-03-21,1774375200,MCX:MCXBULLDEX26MARFUT,11,20,499305,MCXBULLDEX,568,-1.0,XX,1120000000568,1774375200,0,0.0
1120260424521034,MCXBULLDEX 24 Apr 26 FUT,11,1,1.0,,0900-2330|1815-1915:,2026-03-21,1777053600,MCX:MCXBULLDEX26APRFUT,11,20,521034,MCXBULLDEX,568,-1.0,XX,1120000000568,1777053600,0,0.0
1120260527560983,MCXBULLDEX 27 May 26 FUT,11,1,1.0,,0900-2330|1815-1915:,2026-03-21,1779904800,MCX:MCXBULLDEX26MAYFUT,11,20,560983,MCXBULLDEX,568,-1.0,XX,1120000000568,1779904800,0,0.0
1120260624565898,MCXBULLDEX 24 Jun 26 FUT,11,1,1.0,,0900-2330|1815-1915:,2026-03-21,1782324000,MCX:MCXBULLDEX26JUNFUT,11,20,565898,MCXBULLDEX,568,-1.0,XX,1120000000568,1782324000,0,0.0
1120260324494728,MCXMETLDEX 24 Mar 26 FUT,11,1,1.0,,0900-2330|1815-1915:,2026-03-21,1774375200,MCX:MCXMETLDEX26MARFUT,11,20,494728,MCXMETLDEX,569,-1.0,XX,1120000000569,1774375200,0,0.0
1120260423517105,MCXMETLDEX 23 Apr 26 FUT,11,1,1.0,,0900-2330|1815-1915:,2026-03-21,1776967200,MCX:MCXMETLDEX26APRFUT,11,20,517105,MCXMETLDEX,569,-1.0,XX,1120000000569,1776967200,0,0.0
1120260522559938,MCXMETLDEX 22 May 26 FUT,11,1,1.0,,0900-2330|1815-1915:,2026-03-21,1779472800,MCX:MCXMETLDEX26MAYFUT,11,20,559938,MCXMETLDEX,569,-1.0,XX,1120000000569,1779472800,0,0.0
1120260623564633,MCXMETLDEX 23 Jun 26 FUT,11,1,1.0,,0900-2330|1815-1915:,2026-03-21,1782237600,MCX:MCXMETLDEX26JUNFUT,11,20,564633,MCXMETLDEX,569,-1.0,XX,1120000000569,1782237600,0,0.0
1120260324510466,MCXBULLDEX 24 Mar 26 35000 CE,14,1,0.05,,0900-2330|1815-1915:,2026-03-21,1774375200,MCX:MCXBULLDEX26MAR35000CE,11,20,510466,MCXBULLDEX,568,35000.0,CE,1120000000568,1774375200,0,0.0
1120260324510467,MCXBULLDEX 24 Mar 26 35000 PE,14,1,0.05,,0900-2330|1815-1915:,2026-03-21,1774375200,MCX:MCXBULLDEX26MAR35000PE,11,20,510467,MCXBULLDEX,568,35000.0,PE,1120000000568,1774375200,0,0.0
1120260324510554,MCXBULLDEX 24 Mar 26 34700 CE,14,1,0.05,,0900-2330|1815-1915:,2026-03-21,1774375200,MCX:MCXBULLDEX26MAR34700CE,11,20,510554,MCXBULLDEX,568,34700.0,CE,1120000000568,1774375200,0,0.0
1120260324510555,MCXBULLDEX 24 Mar 26 34600 CE,14,1,0.05,,0900-2330|1815-1915:,2026-03-21,1774375200,MCX:MCXBULLDEX26MAR34600CE,11,20,510555,MCXBULLDEX,568,34600.0,CE,1120000000568,1774375200,0,0.0
1120260324510556,MCXBULLDEX 24 Mar 26 34500 CE,14,1,0.05,,0900-2330|1815-1915:,2026-03-21,1774375200,MCX:MCXBULLDEX26MAR34500CE,11,20,510556,MCXBULLDEX,568,34500.0,CE,1120000000568,1774375200,0,0.0
1120260324510557,MCXBULLDEX 24 Mar 26 34400 CE,14,1,0.05,,0900-2330|1815-1915:,2026-03-21,1774375200,MCX:MCXBULLDEX26MAR34400CE,11,20,510557,MCXBULLDEX,568,34400.0,CE,1120000000568,1774375200,0,0.0
1120260324510558,MCXBULLDEX 24 Mar 26 34300 CE,14,1,0.05,,0900-2330|1815-1915:,2026-03-21,1774375200,MCX:MCXBULLDEX26MAR34300CE,11,20,510558,MCXBULLDEX,568,34300.0,CE,1120000000568,1774375200,0,0.0
1120260324510559,MCXBULLDEX 24 Mar 26 34200 CE,14,1,0.05,,0900-2330|1815-1915:,2026-03-21,1774375200,MCX:MCXBULLDEX26MAR34200CE,11,20,510559,MCXBULLDEX,568,34200.0,CE,1120000000568,1774375200,0,0.0
1120260324510560,MCXBULLDEX 24 Mar 26 34100 CE,14,1,0.05,,0900-2330|1815-1915:,2026-03-21,1774375200,MCX:MCXBULLDEX26MAR34100CE,11,20,510560,MCXBULLDEX,568,34100.0,CE,1120000000568,1774375200,0,0.0
1120260324510561,MCXBULLDEX 24 Mar 26 34000 CE,14,1,0.05,,0900-2330|1815-1915:,2026-03-21,1774375200,MCX:MCXBULLDEX26MAR34000CE,11,20,510561,MCXBULLDEX,568,34000.0,CE,1120000000568,1774375200,0,0.0
